question,answer
What are the admission requirements for undergraduate programs?,Admission requires completion of 12th grade with minimum 60% aggregate. You need to submit application form, academic transcripts, and ID proof. Entrance exam scores may be required for certain courses.
How much is the tuition fee for the first year?,The first year tuition fee varies by program. For B.Tech it is Rs 1,20,000, for BBA Rs 80,000, and for BSc Rs 70,000. Hostel charges are extra.
When does the academic year start?,The academic year typically starts in July. First semester classes begin in the first week of July. Check the college website for exact dates.
What are the office timings?,The administrative office is open Monday to Friday from 9:00 AM to 5:00 PM. On Saturdays it is open from 9:00 AM to 1:00 PM. Sunday is a holiday.
Is hostel accommodation available?,Yes, we have separate hostels for boys and girls. Hostel fee is Rs 60,000 per year including mess. Apply within 15 days of admission.
When are the semester exams held?,Semester exams are held in November (odd semester) and April (even semester). The exact date sheet is published 3 weeks before exams.
How can I pay my fees?,Fees can be paid online through the student portal, or by demand draft at the accounts office. Cash payment is not accepted.
What documents are needed for admission?,You need 10th and 12th mark sheets, transfer certificate, caste certificate if applicable, passport size photos, and ID proof.
Is there a library in the college?,Yes, we have a central library open from 8 AM to 8 PM on weekdays. Students get 4 books for 15 days. Digital resources are also available.
What is the last date to apply for admissions?,For regular admissions, the last date is usually June 15. For management quota, applications are accepted till July 10. Check the website for current year dates.
How do I contact the placement cell?,The placement cell can be reached at placement@college.edu or call 0123-4567890. Office is in Block C, Room 205. Walk-in hours are 10 AM to 4 PM.
Are there scholarships available?,Yes, merit scholarships for top 10% of students. EWS and SC/ST scholarships as per government norms. Apply within one month of admission.
What is the dress code?,Formals on weekdays. Boys: shirt and trousers. Girls: salwar kameez or formal dress. Casual allowed on Saturdays.
When is the fee deadline for each semester?,Fees for odd semester are due by August 15. For even semester, the deadline is January 15. Late fee of Rs 500 applies after the deadline.
Where can I get my hall ticket for exams?,Hall tickets are available on the student portal 2 weeks before exams. Download and print. In case of issues, contact the examination cell.
How do I apply for a leave of absence?,Submit a leave application to your department head with supporting documents. For medical leave over 3 days, attach doctor certificate.
What is the refund policy if I withdraw admission?,100% refund if withdrawn before July 1. 75% before August 1. 50% before September 1. No refund after September 15.
Is the campus WiFi available for students?,Yes, free WiFi is available in library, labs, and common areas. Login with your student ID. Data limit is 2GB per day.
What are the canteen timings?,The canteen is open from 8:00 AM to 6:00 PM on all working days. Breakfast 8-10 AM, lunch 12-2 PM. Snacks available throughout.
How do I get my ID card?,ID cards are issued within 2 weeks of admission. Collect from the admin office with your admission slip. Replacement costs Rs 100.
What are the mandatory documents for First-Year (FE) admission?,"Students must provide 10th & 12th marksheets, Leaving Certificate (LC), and MHT-CET/JEE scorecard. For the 2024 pattern, a valid ABC ID (Academic Bank of Credits) is mandatory for enrollment."
How do I calculate my percentage from CGPA in the new pattern?,"For engineering students under the university’s current regulations: Percentage = (CGPA × 8.8) + 5.75"
What is the procedure for a change of branch after the first year?,"Branch changes depend on seat availability and your First Year CGPA. You must apply after the declaration of Semester 2 results, provided you have no active backlogs."
What courses are offered?,"The college offers undergraduate and postgraduate engineering programs."
What branches are available?,"Computer Engineering, IT, Mechanical, Civil, Electrical, and E&TC."
Is the college AICTE approved?,"Yes, the college is approved by AICTE."
Are the courses offered by the institute recognized?,"All the courses offered by the Institutes/Colleges are recognized by MSBT/AICTE and all the UG and PG courses are affiliated to Savitribai Phule Pune University (SPPU)."
How can I get an education loan? Does the college provide any loan facility?,"Since JSPM is a leading educational group with institutes approved by AICTE, leading banks like ICICI Bank, HDFC Bank, Central Bank, and Oriental Bank of Commerce provide educational loans."
What is the eligibility criteria for taking admission?,"Eligibility varies by course. Please visit the respective institute’s website for the latest details."
How are the placement facilities offered by the institute?,"JSPM Institutes/Colleges have good placement records. Each institute/college has a dedicated placement cell headed by a placement officer. Major companies visit campuses for placements, including TCS, CTS, Wipro, Infosys, Tech Mahindra, Capgemini, Quick Heal, KPIT Cummins, ICICI Bank, HDFC Bank, John Deere, Maruti Suzuki, Bosch, Tata Motors, Finolex, Cipla, Dr. Reddy’s Laboratories, Emcure Pharma, and more. Training activities start from the first semester and placement activities start in the final year. Internship support is also provided. Typical packages range from 2.4 to 4.2 LPA, with higher packages for strong performers; highest till date is 12 LPA. Preparation activities include aptitude training, soft-skill training (English classes, group discussions, mock interviews), and technical training (in-house and industry experts)."
What is the full postal address of JSPM Narhe Technical Campus?,"JSPM Narhe Technical Campus, S No 12-1-2 and 12-2-2 Narhe, Taluka-Haveli, Near Sanas Crane, Pune-Bangalore Highway, Pune, Maharashtra 411041."
What is a nearby landmark for reaching JSPM Narhe Technical Campus?,"The campus is located near Navale Bridge, behind Swaminarayan Temple in Narhe, Pune."
What is the reception phone number of JSPM Narhe Technical Campus?,"You can contact JSPM NTC reception on 8262983871. The campus fax number is 020-24608708."
What is the official email ID for JSPM Narhe Technical Campus?,"For general queries you can write to director@jspmntc.edu.in."
Which authority approves JSPM Narhe Technical Campus and to which university is it affiliated?,"The institute is approved by the All India Council for Technical Education (AICTE), New Delhi and the Government of Maharashtra and is affiliated to Savitribai Phule Pune University, Pune."
Which undergraduate engineering programmes and intakes are offered at JSPM NTC?,"JSPM Narhe Technical Campus offers the following UG programmes with their intake: Civil Engineering (120), Computer Engineering (120), Mechanical Engineering (120), Electronics & Telecommunication Engineering (60) and Artificial Intelligence & Data Science (60)."
Which postgraduate programmes and intakes are offered at JSPM NTC?,"Postgraduate programmes include M.E. Computer Engineering (24), M.E. Mechanical Engineering (Design Engineering) (24), M.E. E&TC Engineering (VLSI and Embedded Systems) (24), MBA (120) and MCA (60)."
